,params,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_f1
0,"{'C': 1, 'l1_ratio': 0, 'penalty': 'none', 'solver': 'newton-cg'}",0.9019444444444445,0.9188603585638315,0.8813888888888888,0.8990081307599505
1,"{'C': 1, 'l1_ratio': 0, 'penalty': 'none', 'solver': 'lbfgs'}",0.9025000000000001,0.9108739742301781,0.8916666666666666,0.9008088711741244
2,"{'C': 1, 'l1_ratio': 0, 'penalty': 'none', 'solver': 'liblinear'}",,,,
3,"{'C': 1, 'l1_ratio': 0, 'penalty': 'none', 'solver': 'sag'}",0.9043055555555555,0.919424017581204,0.8858333333333333,0.9016976086248626
4,"{'C': 1, 'l1_ratio': 0, 'penalty': 'none', 'solver': 'saga'}",0.906388888888889,0.921966346583331,0.8875,0.9037677515869488
5,"{'C': 1, 'l1_ratio': 0, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,
6,"{'C': 1, 'l1_ratio': 0, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,
7,"{'C': 1, 'l1_ratio': 0, 'penalty': 'l1', 'solver': 'liblinear'}",0.8683333333333334,0.8712285906796943,0.8636111111111111,0.8665521464911438
8,"{'C': 1, 'l1_ratio': 0, 'penalty': 'l1', 'solver': 'sag'}",,,,
9,"{'C': 1, 'l1_ratio': 0, 'penalty': 'l1', 'solver': 'saga'}",0.8681944444444444,0.8707637640223176,0.8638888888888889,0.8664714815048937
10,"{'C': 1, 'l1_ratio': 0, 'penalty': 'l2', 'solver': 'newton-cg'}",0.898611111111111,0.9085644771731308,0.8858333333333335,0.8967257969612206
11,"{'C': 1, 'l1_ratio': 0, 'penalty': 'l2', 'solver': 'lbfgs'}",0.898611111111111,0.9085644771731308,0.8858333333333335,0.8967257969612206
12,"{'C': 1, 'l1_ratio': 0, 'penalty': 'l2', 'solver': 'liblinear'}",0.8987499999999999,0.9088367364443675,0.8858333333333335,0.8968535779409296
13,"{'C': 1, 'l1_ratio': 0, 'penalty': 'l2', 'solver': 'sag'}",0.8984722222222222,0.9083093015889541,0.8858333333333335,0.8965988301877467
14,"{'C': 1, 'l1_ratio': 0, 'penalty': 'l2', 'solver': 'saga'}",0.8984722222222222,0.9083093015889541,0.8858333333333335,0.8965988301877467
15,"{'C': 1, 'l1_ratio': 0, 'penalty': 'elasticnet', 'solver': 'newton-cg'}",,,,
16,"{'C': 1, 'l1_ratio': 0, 'penalty': 'elasticnet', 'solver': 'lbfgs'}",,,,
17,"{'C': 1, 'l1_ratio': 0, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,
18,"{'C': 1, 'l1_ratio': 0, 'penalty': 'elasticnet', 'solver': 'sag'}",,,,
19,"{'C': 1, 'l1_ratio': 0, 'penalty': 'elasticnet', 'solver': 'saga'}",0.8984722222222222,0.9083093015889541,0.8858333333333335,0.8965988301877467
20,"{'C': 1, 'l1_ratio': 0.5, 'penalty': 'none', 'solver': 'newton-cg'}",0.9019444444444445,0.9188603585638315,0.8813888888888888,0.8990081307599505
21,"{'C': 1, 'l1_ratio': 0.5, 'penalty': 'none', 'solver': 'lbfgs'}",0.9025000000000001,0.9108739742301781,0.8916666666666666,0.9008088711741244
22,"{'C': 1, 'l1_ratio': 0.5, 'penalty': 'none', 'solver': 'liblinear'}",,,,
23,"{'C': 1, 'l1_ratio': 0.5, 'penalty': 'none', 'solver': 'sag'}",0.9043055555555555,0.919424017581204,0.8858333333333333,0.9016976086248626
24,"{'C': 1, 'l1_ratio': 0.5, 'penalty': 'none', 'solver': 'saga'}",0.906388888888889,0.921966346583331,0.8875,0.9037677515869488
25,"{'C': 1, 'l1_ratio': 0.5, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,
26,"{'C': 1, 'l1_ratio': 0.5, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,
27,"{'C': 1, 'l1_ratio': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.8683333333333334,0.8712285906796943,0.8636111111111111,0.8665521464911438
28,"{'C': 1, 'l1_ratio': 0.5, 'penalty': 'l1', 'solver': 'sag'}",,,,
29,"{'C': 1, 'l1_ratio': 0.5, 'penalty': 'l1', 'solver': 'saga'}",0.8681944444444444,0.8707637640223176,0.8638888888888889,0.8664714815048937
30,"{'C': 1, 'l1_ratio': 0.5, 'penalty': 'l2', 'solver': 'newton-cg'}",0.898611111111111,0.9085644771731308,0.8858333333333335,0.8967257969612206
31,"{'C': 1, 'l1_ratio': 0.5, 'penalty': 'l2', 'solver': 'lbfgs'}",0.898611111111111,0.9085644771731308,0.8858333333333335,0.8967257969612206
32,"{'C': 1, 'l1_ratio': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.8987499999999999,0.9088367364443675,0.8858333333333335,0.8968535779409296
33,"{'C': 1, 'l1_ratio': 0.5, 'penalty': 'l2', 'solver': 'sag'}",0.8984722222222222,0.9083093015889541,0.8858333333333335,0.8965988301877467
34,"{'C': 1, 'l1_ratio': 0.5, 'penalty': 'l2', 'solver': 'saga'}",0.8984722222222222,0.9083093015889541,0.8858333333333335,0.8965988301877467
35,"{'C': 1, 'l1_ratio': 0.5, 'penalty': 'elasticnet', 'solver': 'newton-cg'}",,,,
36,"{'C': 1, 'l1_ratio': 0.5, 'penalty': 'elasticnet', 'solver': 'lbfgs'}",,,,
37,"{'C': 1, 'l1_ratio': 0.5, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,
38,"{'C': 1, 'l1_ratio': 0.5, 'penalty': 'elasticnet', 'solver': 'sag'}",,,,
39,"{'C': 1, 'l1_ratio': 0.5, 'penalty': 'elasticnet', 'solver': 'saga'}",0.8859722222222223,0.890377850608514,0.8794444444444445,0.8844314195765962
40,"{'C': 1, 'l1_ratio': 1, 'penalty': 'none', 'solver': 'newton-cg'}",0.9019444444444445,0.9188603585638315,0.8813888888888888,0.8990081307599505
41,"{'C': 1, 'l1_ratio': 1, 'penalty': 'none', 'solver': 'lbfgs'}",0.9025000000000001,0.9108739742301781,0.8916666666666666,0.9008088711741244
42,"{'C': 1, 'l1_ratio': 1, 'penalty': 'none', 'solver': 'liblinear'}",,,,
43,"{'C': 1, 'l1_ratio': 1, 'penalty': 'none', 'solver': 'sag'}",0.9043055555555555,0.919424017581204,0.8858333333333333,0.9016976086248626
44,"{'C': 1, 'l1_ratio': 1, 'penalty': 'none', 'solver': 'saga'}",0.906388888888889,0.921966346583331,0.8875,0.9037677515869488
45,"{'C': 1, 'l1_ratio': 1, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,
46,"{'C': 1, 'l1_ratio': 1, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,
47,"{'C': 1, 'l1_ratio': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8683333333333334,0.8712285906796943,0.8636111111111111,0.8665521464911438
48,"{'C': 1, 'l1_ratio': 1, 'penalty': 'l1', 'solver': 'sag'}",,,,
49,"{'C': 1, 'l1_ratio': 1, 'penalty': 'l1', 'solver': 'saga'}",0.8681944444444444,0.8707637640223176,0.8638888888888889,0.8664714815048937
50,"{'C': 1, 'l1_ratio': 1, 'penalty': 'l2', 'solver': 'newton-cg'}",0.898611111111111,0.9085644771731308,0.8858333333333335,0.8967257969612206
51,"{'C': 1, 'l1_ratio': 1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.898611111111111,0.9085644771731308,0.8858333333333335,0.8967257969612206
52,"{'C': 1, 'l1_ratio': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8987499999999999,0.9088367364443675,0.8858333333333335,0.8968535779409296
53,"{'C': 1, 'l1_ratio': 1, 'penalty': 'l2', 'solver': 'sag'}",0.8984722222222222,0.9083093015889541,0.8858333333333335,0.8965988301877467
54,"{'C': 1, 'l1_ratio': 1, 'penalty': 'l2', 'solver': 'saga'}",0.8984722222222222,0.9083093015889541,0.8858333333333335,0.8965988301877467
55,"{'C': 1, 'l1_ratio': 1, 'penalty': 'elasticnet', 'solver': 'newton-cg'}",,,,
56,"{'C': 1, 'l1_ratio': 1, 'penalty': 'elasticnet', 'solver': 'lbfgs'}",,,,
57,"{'C': 1, 'l1_ratio': 1, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,
58,"{'C': 1, 'l1_ratio': 1, 'penalty': 'elasticnet', 'solver': 'sag'}",,,,
59,"{'C': 1, 'l1_ratio': 1, 'penalty': 'elasticnet', 'solver': 'saga'}",0.8681944444444444,0.8707637640223176,0.8638888888888889,0.8664714815048937
60,"{'C': 5, 'l1_ratio': 0, 'penalty': 'none', 'solver': 'newton-cg'}",0.9019444444444445,0.9188603585638315,0.8813888888888888,0.8990081307599505
61,"{'C': 5, 'l1_ratio': 0, 'penalty': 'none', 'solver': 'lbfgs'}",0.9025000000000001,0.9108739742301781,0.8916666666666666,0.9008088711741244
62,"{'C': 5, 'l1_ratio': 0, 'penalty': 'none', 'solver': 'liblinear'}",,,,
63,"{'C': 5, 'l1_ratio': 0, 'penalty': 'none', 'solver': 'sag'}",0.9043055555555555,0.919424017581204,0.8858333333333333,0.9016976086248626
64,"{'C': 5, 'l1_ratio': 0, 'penalty': 'none', 'solver': 'saga'}",0.906388888888889,0.921966346583331,0.8875,0.9037677515869488
65,"{'C': 5, 'l1_ratio': 0, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,
66,"{'C': 5, 'l1_ratio': 0, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,
67,"{'C': 5, 'l1_ratio': 0, 'penalty': 'l1', 'solver': 'liblinear'}",0.8861111111111111,0.9013939606059118,0.8661111111111112,0.8827289307535109
68,"{'C': 5, 'l1_ratio': 0, 'penalty': 'l1', 'solver': 'sag'}",,,,
69,"{'C': 5, 'l1_ratio': 0, 'penalty': 'l1', 'solver': 'saga'}",0.8894444444444444,0.9033957155039092,0.8713888888888889,0.8864513021789756
70,"{'C': 5, 'l1_ratio': 0, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9087500000000001,0.9221502244024513,0.892222222222222,0.906495020809402
71,"{'C': 5, 'l1_ratio': 0, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9087500000000001,0.9221502244024513,0.892222222222222,0.906495020809402
72,"{'C': 5, 'l1_ratio': 0, 'penalty': 'l2', 'solver': 'liblinear'}",0.9087500000000001,0.9221502244024513,0.892222222222222,0.906495020809402
73,"{'C': 5, 'l1_ratio': 0, 'penalty': 'l2', 'solver': 'sag'}",0.9087500000000001,0.9221502244024513,0.892222222222222,0.906495020809402
74,"{'C': 5, 'l1_ratio': 0, 'penalty': 'l2', 'solver': 'saga'}",0.9090277777777779,0.9222055314803599,0.8927777777777777,0.9068006072160593
75,"{'C': 5, 'l1_ratio': 0, 'penalty': 'elasticnet', 'solver': 'newton-cg'}",,,,
76,"{'C': 5, 'l1_ratio': 0, 'penalty': 'elasticnet', 'solver': 'lbfgs'}",,,,
77,"{'C': 5, 'l1_ratio': 0, 'penalty': 'elasticnet', 'solver': 'liblinear'}",,,,
78,"{'C': 5, 'l1_ratio': 0, 'penalty': 'elasticnet', 'solver': 'sag'}",,,,
79,"{'C': 5, 'l1_ratio': 0, 'penalty': 'elasticnet', 'solver': 'saga'}",0.9090277777777779,0.9222055314803599,0.8927777777777777,0.9068006072160593
80,"{'C': 5, 'l1_ratio': 0.5, 'penalty': 'none', 'solver': 'newton-cg'}",0.9019444444444445,0.9188603585638315,0.8813888888888888,0.8990081307599505
81,"{'C': 5, 'l1_ratio': 0.5, 'penalty': 'none', 'solver': 'lbfgs'}",0.9025000000000001,0.9108739742301781,0.8916666666666666,0.9008088711741244
82,"{'C': 5, 'l1_ratio': 0.5, 'penalty': 'none', 'solver': 'liblinear'}",,,,
83,"{'C': 5, 'l1_ratio': 0.5, 'penalty': 'none', 'solver': 'sag'}",0.9043055555555555,0.919424017581204,0.8858333333333333,0.9016976086248626
84,"{'C': 5, 'l1_ratio': 0.5, 'penalty': 'none', 'solver': 'saga'}",0.906388888888889,0.921966346583331,0.8875,0.9037677515869488
85,"{'C': 5, 'l1_ratio': 0.5, 'penalty': 'l1', 'solver': 'newton-cg'}",,,,
86,"{'C': 5, 'l1_ratio': 0.5, 'penalty': 'l1', 'solver': 'lbfgs'}",,,,
87,"{'C': 5, 'l1_ratio': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.8861111111111111,0.9013939606059118,0.8661111111111112,0.8827289307535109
88,"{'C': 5, 'l1_ratio': 0.5, 'penalty': 'l1', 'solver': 'sag'}",,,,
89,"{'C': 5, 'l1_ratio': 0.5, 'penalty': 'l1', 'solver': 'saga'}",0.8894444444444444,0.9033957155039092,0.8713888888888889,0.8864513021789756
90,"{'C': 5, 'l1_ratio': 0.5, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9087500000000001,0.9221502244024513,0.892222222222222,0.906495020809402
